x_ethanol,Tbub,y_ethanol,Tdew
0.884681,351.711,0.884681,351.881
0.88649,351.702,0.88649,351.859
0.888291,351.692,0.888291,351.838
0.890083,351.683,0.890083,351.818
0.891867,351.674,0.891867,351.798
0.893642,351.666,0.893642,351.78
0.895409,351.657,0.895409,351.762
0.897167,351.649,0.897167,351.745
0.898917,351.641,0.898917,351.728
0.90066,351.633,0.90066,351.713
0.902393,351.626,0.902393,351.698
0.904119,351.619,0.904119,351.684
0.905837,351.612,0.905837,351.671
0.907547,351.605,0.907547,351.658
0.909249,351.599,0.909249,351.646
0.910943,351.593,0.910943,351.635
0.912629,351.587,0.912629,351.624
0.914308,351.581,0.914308,351.614
0.915978,351.576,0.915978,351.605
0.917641,351.571,0.917641,351.596
0.919297,351.566,0.919297,351.588
0.920945,351.562,0.920945,351.58
0.922585,351.558,0.922585,351.573
0.924218,351.554,0.924218,351.567
0.925844,351.55,0.925844,351.561
0.927462,351.547,0.927462,351.556
0.929073,351.544,0.929073,351.551
0.930677,351.541,0.930677,351.547
0.932274,351.539,0.932274,351.543
0.933863,351.537,0.933863,351.54
0.935445,351.535,0.935445,351.537
0.93702,351.533,0.93702,351.535
0.938589,351.533,0.938589,351.533
0.94015,351.531,0.94015,351.531
0.941704,351.531,0.941704,351.545
0.943252,351.531,0.943252,351.546
0.944793,351.531,0.944793,351.546
0.946326,351.531,0.946326,351.547
0.947854,351.532,0.947854,351.534
0.949374,351.533,0.949374,351.533
